x_m,y_m,phase_rad
0.0,0.0,2.601
0.0,0.5,-1.799
0.0,1.0,0.085
0.0,1.5,1.970
0.0,2.0,-2.428
0.0,2.5,-0.542
0.0,3.0,1.345
0.0,3.5,-3.051
0.0,4.0,-1.162
0.0,4.5,0.727
0.0,5.0,2.617
0.0,5.5,-1.776
0.0,6.0,0.116
0.0,6.5,2.008
0.0,7.0,-2.383
0.0,7.5,-0.489
0.0,8.0,1.405
0.0,8.5,-2.983
0.0,9.0,-1.087
0.0,9.5,0.810
0.0,10.1,2.707
0.0,10.6,-1.678
0.0,11.1,0.221
0.0,11.6,2.120
0.0,12.1,-2.262
0.0,12.6,-0.361
0.0,13.1,1.540
0.0,13.6,-2.840
0.0,14.1,-0.937
0.0,14.6,0.967
0.0,15.1,2.872
0.0,15.6,-1.506
0.0,16.1,0.401
0.0,16.6,2.308
0.0,17.1,-2.068
0.0,17.6,-0.159
0.0,18.1,1.750
0.0,18.6,-2.623
0.0,19.1,-0.712
0.0,19.6,1.199
0.0,20.1,3.111
0.0,20.6,-1.259
0.0,21.1,0.655
0.0,21.6,2.569
0.0,22.1,-1.799
0.0,22.6,0.117
0.0,23.1,2.034
0.0,23.6,-2.332
0.0,24.1,-0.413
0.0,24.6,1.506
0.0,25.1,-2.858
0.0,25.6,-0.937
0.0,26.1,0.984
0.0,26.6,2.906
0.0,27.1,-1.455
0.0,27.6,0.469
0.0,28.1,2.393
0.0,28.6,-1.965
0.0,29.1,-0.040
0.0,29.6,1.887
0.0,30.2,-2.469
0.0,30.7,-0.541
0.0,31.2,1.387
0.0,31.7,-2.966
0.0,32.2,-1.036
0.0,32.7,0.895
0.0,33.2,2.826
0.0,33.7,-1.524
0.0,34.2,0.409
0.0,34.7,2.343
0.0,35.2,-2.006
0.0,35.7,-0.070
0.0,36.2,1.866
0.0,36.7,-2.481
0.0,37.2,-0.543
0.0,37.7,1.396
0.0,38.2,-2.949
0.0,38.7,-1.009
0.0,39.2,0.932
0.0,39.7,2.873
0.0,40.2,-1.468
0.0,40.7,0.475
0.0,41.2,2.419
0.0,41.7,-1.920
0.0,42.2,0.025
0.0,42.7,1.971
0.0,43.2,-2.365
0.0,43.7,-0.418
0.0,44.2,1.530
0.0,44.7,-2.804
0.0,45.2,-0.855
0.0,45.7,1.096
