x,y,total_attenuation_dB
0,0.0,75.8
0,1.0,70.7
0,2.0,70.7
0,3.0,70.6
0,4.0,70.6
0,5.0,70.5
0,6.0,70.5
0,7.0,70.4
0,8.0,70.4
0,9.0,70.3
0,10.0,70.3
0,11.0,70.2
0,12.0,70.2
0,13.0,70.1
0,14.0,70.1
0,15.0,70.0
0,16.0,70.0
0,17.0,69.9
0,18.0,69.9
0,19.0,69.9
0,20.0,69.8
0,21.0,69.8
0,22.0,69.7
0,23.0,69.7
0,24.0,69.7
0,25.0,69.6
0,26.0,69.6
0,27.0,69.6
0,28.0,69.5
0,29.0,69.5
0,30.0,69.5
0,31.0,69.4
0,32.0,69.4
0,33.0,69.4
0,34.0,69.4
0,35.0,69.3
0,36.0,69.3
0,37.0,69.3
0,38.0,69.3
0,39.0,69.3
0,40.0,69.2
0,41.0,69.2
0,42.0,69.2
0,43.0,69.2
0,44.0,69.2
0,45.0,69.2
0,46.0,69.2
0,47.0,69.2
0,48.0,69.2
0,49.0,79.2
0,50.0,79.2
0,51.0,79.2
0,52.0,69.2
0,53.0,69.2
0,54.0,69.2
0,55.0,74.2
0,56.0,74.2
0,57.0,74.2
0,58.0,74.2
0,59.0,74.2
0,60.0,69.2
0,61.0,69.3
0,62.0,69.3
0,63.0,69.3
0,64.0,69.3
0,65.0,69.3
0,66.0,69.4
0,67.0,69.4
0,68.0,69.4
0,69.0,69.4
0,70.0,69.5
0,71.0,69.5
0,72.0,69.5
0,73.0,69.6
0,74.0,69.6
0,75.0,69.6
0,76.0,69.7
0,77.0,69.7
0,78.0,69.7
0,79.0,69.8
0,80.0,69.8
0,81.0,69.9
0,82.0,69.9
0,83.0,69.9
0,84.0,70.0
0,85.0,70.0
0,86.0,70.1
0,87.0,70.1
0,88.0,70.2
0,89.0,70.2
0,90.0,70.3
0,91.0,70.3
0,92.0,70.4
0,93.0,70.4
0,94.0,70.5
0,95.0,70.5
0,96.0,70.6
0,97.0,70.6
0,98.0,70.7
0,99.0,70.7
1,0.0,75.7
1,1.0,75.6
1,2.0,70.6
1,3.0,70.5
1,4.0,70.5
1,5.0,70.4
1,6.0,70.4
1,7.0,70.3
1,8.0,70.3
1,9.0,70.2
1,10.0,70.2
1,11.0,70.1
1,12.0,70.1
1,13.0,70.0
1,14.0,70.0
1,15.0,69.9
1,16.0,69.9
1,17.0,69.8
1,18.0,69.8
1,19.0,69.8
1,20.0,69.7
1,21.0,69.7
1,22.0,69.6
1,23.0,69.6
1,24.0,69.6
1,25.0,69.5
1,26.0,69.5
1,27.0,69.5
1,28.0,69.4
1,29.0,69.4
1,30.0,69.4
1,31.0,69.3
1,32.0,69.3
1,33.0,69.3
1,34.0,69.3
1,35.0,69.2
1,36.0,69.2
1,37.0,69.2
1,38.0,69.2
1,39.0,69.1
1,40.0,69.1
1,41.0,69.1
1,42.0,69.1
1,43.0,69.1
1,44.0,69.1
1,45.0,69.1
1,46.0,69.1
1,47.0,69.1
1,48.0,69.1
1,49.0,79.1
1,50.0,79.1
1,51.0,79.1
1,52.0,69.1
1,53.0,69.1
1,54.0,69.1
1,55.0,74.1
1,56.0,74.1
1,57.0,74.1
1,58.0,74.1
1,59.0,74.1
1,60.0,69.1
1,61.0,69.1
1,62.0,69.2
1,63.0,69.2
1,64.0,69.2
1,65.0,69.2
1,66.0,69.3
1,67.0,69.3
1,68.0,69.3
1,69.0,69.3
1,70.0,69.4
1,71.0,69.4
1,72.0,69.4
1,73.0,69.5
1,74.0,69.5
1,75.0,69.5
1,76.0,69.6
1,77.0,69.6
1,78.0,69.6
1,79.0,69.7
1,80.0,69.7
1,81.0,69.8
1,82.0,69.8
1,83.0,69.8
1,84.0,69.9
1,85.0,69.9
1,86.0,70.0
1,87.0,70.0
1,88.0,70.1
1,89.0,70.1
1,90.0,70.2
1,91.0,70.2
1,92.0,70.3
1,93.0,70.3
1,94.0,70.4
1,95.0,70.4
1,96.0,70.5
1,97.0,70.5
1,98.0,70.6
1,99.0,70.6
2,0.0,75.6
2,1.0,75.6
2,2.0,75.5
2,3.0,70.4
2,4.0,70.4
2,5.0,70.3
2,6.0,70.3
2,7.0,70.2
2,8.0,70.2
2,9.0,70.1
2,10.0,70.1
2,11.0,70.0
2,12.0,70.0
2,13.0,69.9
2,14.0,69.9
2,15.0,69.8
2,16.0,69.8
2,17.0,69.7
2,18.0,69.7
2,19.0,69.7
2,20.0,69.6
2,21.0,69.6
2,22.0,69.5
2,23.0,69.5
2,24.0,69.5
2,25.0,69.4
2,26.0,69.4
2,27.0,69.3
2,28.0,69.3
2,29.0,69.3
2,30.0,69.3
2,31.0,69.2
2,32.0,69.2
2,33.0,69.2
2,34.0,69.1
2,35.0,69.1
2,36.0,69.1
2,37.0,69.1
2,38.0,69.1
2,39.0,69.0
2,40.0,69.0
2,41.0,69.0
2,42.0,69.0
2,43.0,69.0
2,44.0,69.0
2,45.0,69.0
2,46.0,68.9
2,47.0,68.9
2,48.0,68.9
2,49.0,78.9
2,50.0,78.9
2,51.0,78.9
2,52.0,68.9
2,53.0,68.9
2,54.0,68.9
2,55.0,74.0
2,56.0,74.0
2,57.0,74.0
2,58.0,74.0
2,59.0,74.0
2,60.0,69.0
2,61.0,69.0
2,62.0,69.1
2,63.0,69.1
2,64.0,69.1
2,65.0,69.1
2,66.0,69.1
2,67.0,69.2
2,68.0,69.2
2,69.0,69.2
2,70.0,69.3
2,71.0,69.3
2,72.0,69.3
2,73.0,69.3
2,74.0,69.4
2,75.0,69.4
2,76.0,69.5
2,77.0,69.5
2,78.0,69.5
2,79.0,69.6
2,80.0,69.6
2,81.0,69.7
2,82.0,69.7
2,83.0,69.7
2,84.0,69.8
2,85.0,69.8
2,86.0,69.9
2,87.0,69.9
2,88.0,70.0
2,89.0,70.0
2,90.0,70.1
2,91.0,70.1
2,92.0,70.2
2,93.0,70.2
2,94.0,70.3
2,95.0,70.3
2,96.0,70.4
2,97.0,70.4
2,98.0,70.5
2,99.0,70.6
3,0.0,75.5
3,1.0,75.5
3,2.0,75.4
3,3.0,70.4
3,4.0,70.3
3,5.0,70.2
3,6.0,70.2
3,7.0,70.1
3,8.0,70.1
3,9.0,70.0
3,10.0,70.0
3,11.0,69.9
3,12.0,69.9
3,13.0,69.8
3,14.0,69.8
3,15.0,69.7
3,16.0,69.7
3,17.0,69.6
3,18.0,69.6
3,19.0,69.6
3,20.0,69.5
3,21.0,69.5
3,22.0,69.4
3,23.0,69.4
3,24.0,69.3
3,25.0,69.3
3,26.0,69.3
3,27.0,69.2
3,28.0,69.2
3,29.0,69.2
3,30.0,69.1
3,31.0,69.1
3,32.0,69.1
3,33.0,69.1
3,34.0,69.0
3,35.0,69.0
3,36.0,69.0
3,37.0,69.0
3,38.0,68.9
3,39.0,68.9
3,40.0,68.9
3,41.0,68.9
3,42.0,68.9
3,43.0,68.9
3,44.0,68.8
3,45.0,68.8
3,46.0,68.8
3,47.0,68.8
3,48.0,68.8
3,49.0,78.8
3,50.0,78.8
3,51.0,78.8
3,52.0,68.8
3,53.0,68.8
3,54.0,68.8
3,55.0,73.8
3,56.0,73.8
3,57.0,73.9
3,58.0,73.9
3,59.0,68.9
3,60.0,68.9
3,61.0,68.9
3,62.0,68.9
3,63.0,69.0
3,64.0,69.0
3,65.0,69.0
3,66.0,69.0
3,67.0,69.1
3,68.0,69.1
3,69.0,69.1
3,70.0,69.1
3,71.0,69.2
3,72.0,69.2
3,73.0,69.2
3,74.0,69.3
3,75.0,69.3
3,76.0,69.3
3,77.0,69.4
3,78.0,69.4
3,79.0,69.5
3,80.0,69.5
3,81.0,69.6
3,82.0,69.6
3,83.0,69.6
3,84.0,69.7
3,85.0,69.7
3,86.0,69.8
3,87.0,69.8
3,88.0,69.9
3,89.0,69.9
3,90.0,70.0
3,91.0,70.0
3,92.0,70.1
3,93.0,70.1
3,94.0,70.2
3,95.0,70.2
3,96.0,70.3
3,97.0,70.4
3,98.0,70.4
3,99.0,70.5
4,0.0,70.4
4,1.0,75.4
4,2.0,75.3
4,3.0,75.3
4,4.0,70.2
4,5.0,70.2
4,6.0,70.1
4,7.0,70.1
4,8.0,70.0
4,9.0,69.9
4,10.0,69.9
4,11.0,69.8
4,12.0,69.8
4,13.0,69.7
4,14.0,69.7
4,15.0,69.6
4,16.0,69.6
4,17.0,69.5
4,18.0,69.5
4,19.0,69.5
4,20.0,69.4
4,21.0,69.4
4,22.0,69.3
4,23.0,69.3
4,24.0,69.2
4,25.0,69.2
4,26.0,69.2
4,27.0,69.1
4,28.0,69.1
4,29.0,69.1
4,30.0,69.0
4,31.0,69.0
4,32.0,69.0
4,33.0,68.9
4,34.0,68.9
4,35.0,68.9
4,36.0,68.9
4,37.0,68.8
4,38.0,68.8
4,39.0,68.8
4,40.0,68.8
4,41.0,68.8
4,42.0,68.8
4,43.0,68.7
4,44.0,68.7
4,45.0,68.7
4,46.0,68.7
4,47.0,68.7
4,48.0,68.7
4,49.0,78.7
4,50.0,78.7
4,51.0,78.7
4,52.0,68.7
4,53.0,68.7
4,54.0,68.7
4,55.0,73.7
4,56.0,73.7
4,57.0,73.7
4,58.0,73.8
4,59.0,68.8
4,60.0,68.8
4,61.0,68.8
4,62.0,68.8
4,63.0,68.8
4,64.0,68.9
4,65.0,68.9
4,66.0,68.9
4,67.0,68.9
4,68.0,69.0
4,69.0,69.0
4,70.0,69.0
4,71.0,69.1
4,72.0,69.1
4,73.0,69.1
4,74.0,69.2
4,75.0,69.2
4,76.0,69.2
4,77.0,69.3
4,78.0,69.3
4,79.0,69.4
4,80.0,69.4
4,81.0,69.5
4,82.0,69.5
4,83.0,69.5
4,84.0,69.6
4,85.0,69.6
4,86.0,69.7
4,87.0,69.7
4,88.0,69.8
4,89.0,69.8
4,90.0,69.9
4,91.0,69.9
4,92.0,70.0
4,93.0,70.1
4,94.0,70.1
4,95.0,70.2
4,96.0,70.2
4,97.0,70.3
4,98.0,70.3
4,99.0,70.4
5,0.0,70.4
5,1.0,70.3
5,2.0,75.2
5,3.0,75.2
5,4.0,75.1
5,5.0,70.1
5,6.0,70.0
5,7.0,70.0
5,8.0,69.9
5,9.0,69.9
5,10.0,69.8
5,11.0,69.7
5,12.0,69.7
5,13.0,69.6
5,14.0,69.6
5,15.0,69.5
5,16.0,69.5
5,17.0,69.4
5,18.0,69.4
5,19.0,69.3
5,20.0,69.3
5,21.0,69.3
5,22.0,69.2
5,23.0,69.2
5,24.0,69.1
5,25.0,69.1
5,26.0,69.1
5,27.0,69.0
5,28.0,69.0
5,29.0,68.9
5,30.0,68.9
5,31.0,68.9
5,32.0,68.9
5,33.0,68.8
5,34.0,68.8
5,35.0,68.8
5,36.0,68.7
5,37.0,68.7
5,38.0,68.7
5,39.0,68.7
5,40.0,68.7
5,41.0,68.6
5,42.0,68.6
5,43.0,68.6
5,44.0,68.6
5,45.0,68.6
5,46.0,68.6
5,47.0,68.6
5,48.0,68.6
5,49.0,78.6
5,50.0,78.6
5,51.0,78.6
5,52.0,68.6
5,53.0,68.6
5,54.0,68.6
5,55.0,73.6
5,56.0,73.6
5,57.0,73.6
5,58.0,73.6
5,59.0,68.6
5,60.0,68.7
5,61.0,68.7
5,62.0,68.7
5,63.0,68.7
5,64.0,68.7
5,65.0,68.8
5,66.0,68.8
5,67.0,68.8
5,68.0,68.9
5,69.0,68.9
5,70.0,68.9
5,71.0,68.9
5,72.0,69.0
5,73.0,69.0
5,74.0,69.1
5,75.0,69.1
5,76.0,69.1
5,77.0,69.2
5,78.0,69.2
5,79.0,69.3
5,80.0,69.3
5,81.0,69.3
5,82.0,69.4
5,83.0,69.4
5,84.0,69.5
5,85.0,69.5
5,86.0,69.6
5,87.0,69.6
5,88.0,69.7
5,89.0,69.7
5,90.0,69.8
5,91.0,69.9
5,92.0,69.9
5,93.0,70.0
5,94.0,70.0
5,95.0,70.1
5,96.0,70.1
5,97.0,70.2
5,98.0,70.2
5,99.0,70.3
6,0.0,75.3
6,1.0,70.2
6,2.0,75.2
6,3.0,75.1
6,4.0,75.0
6,5.0,70.0
6,6.0,69.9
6,7.0,69.9
6,8.0,69.8
6,9.0,69.8
6,10.0,69.7
6,11.0,69.7
6,12.0,69.6
6,13.0,69.5
6,14.0,69.5
6,15.0,69.4
6,16.0,69.4
6,17.0,69.3
6,18.0,69.3
6,19.0,69.2
6,20.0,69.2
6,21.0,69.2
6,22.0,69.1
6,23.0,69.1
6,24.0,69.0
6,25.0,69.0
6,26.0,68.9
6,27.0,68.9
6,28.0,68.9
6,29.0,68.8
6,30.0,68.8
6,31.0,68.8
6,32.0,68.7
6,33.0,68.7
6,34.0,68.7
6,35.0,68.6
6,36.0,68.6
6,37.0,68.6
6,38.0,68.6
6,39.0,68.6
6,40.0,68.5
6,41.0,68.5
6,42.0,68.5
6,43.0,68.5
6,44.0,68.5
6,45.0,68.5
6,46.0,68.5
6,47.0,68.5
6,48.0,68.5
6,49.0,78.4
6,50.0,78.4
6,51.0,78.4
6,52.0,68.5
6,53.0,68.5
6,54.0,68.5
6,55.0,73.5
6,56.0,73.5
6,57.0,73.5
6,58.0,73.5
6,59.0,68.5
6,60.0,68.5
6,61.0,68.6
6,62.0,68.6
6,63.0,68.6
6,64.0,68.6
6,65.0,68.6
6,66.0,68.7
6,67.0,68.7
6,68.0,68.7
6,69.0,68.8
6,70.0,68.8
6,71.0,68.8
6,72.0,68.9
6,73.0,68.9
6,74.0,68.9
6,75.0,69.0
6,76.0,69.0
6,77.0,69.1
6,78.0,69.1
6,79.0,69.2
6,80.0,69.2
6,81.0,69.2
6,82.0,69.3
6,83.0,69.3
6,84.0,69.4
6,85.0,69.4
6,86.0,69.5
6,87.0,69.5
6,88.0,69.6
6,89.0,69.7
6,90.0,69.7
6,91.0,69.8
6,92.0,69.8
6,93.0,69.9
6,94.0,69.9
6,95.0,70.0
6,96.0,70.0
6,97.0,70.1
6,98.0,70.2
6,99.0,70.2
7,0.0,75.2
7,1.0,70.1
7,2.0,70.1
7,3.0,75.0
7,4.0,75.0
7,5.0,74.9
7,6.0,69.8
7,7.0,69.8
7,8.0,69.7
7,9.0,69.7
7,10.0,69.6
7,11.0,69.6
7,12.0,69.5
7,13.0,69.4
7,14.0,69.4
7,15.0,69.3
7,16.0,69.3
7,17.0,69.2
7,18.0,69.2
7,19.0,69.1
7,20.0,69.1
7,21.0,69.0
7,22.0,69.0
7,23.0,69.0
7,24.0,68.9
7,25.0,68.9
7,26.0,68.8
7,27.0,68.8
7,28.0,68.8
7,29.0,68.7
7,30.0,68.7
7,31.0,68.6
7,32.0,68.6
7,33.0,68.6
7,34.0,68.6
7,35.0,68.5
7,36.0,68.5
7,37.0,68.5
7,38.0,68.5
7,39.0,68.4
7,40.0,68.4
7,41.0,68.4
7,42.0,68.4
7,43.0,68.4
7,44.0,68.4
7,45.0,68.3
7,46.0,68.3
7,47.0,68.3
7,48.0,68.3
7,49.0,78.3
7,50.0,78.3
7,51.0,78.3
7,52.0,68.3
7,53.0,68.3
7,54.0,68.3
7,55.0,73.3
